FID	IID
CAMBRIDGE-BELIEVE_337984270_337984270	CAMBRIDGE-BELIEVE_337984270_337984270
CAMBRIDGE-BELIEVE_337984371_337984371	CAMBRIDGE-BELIEVE_337984371_337984371
CAMBRIDGE-BELIEVE_337984457_337984457	CAMBRIDGE-BELIEVE_337984457_337984457
CAMBRIDGE-BELIEVE_337984580_337984580	CAMBRIDGE-BELIEVE_337984580_337984580
CAMBRIDGE-BELIEVE_337984602_337984602	CAMBRIDGE-BELIEVE_337984602_337984602
CAMBRIDGE-BELIEVE_337984638_337984638	CAMBRIDGE-BELIEVE_337984638_337984638
CAMBRIDGE-BELIEVE_337984668_337984668	CAMBRIDGE-BELIEVE_337984668_337984668
CAMBRIDGE-BELIEVE_337984879_337984879	CAMBRIDGE-BELIEVE_337984879_337984879
CAMBRIDGE-BELIEVE_337985157_337985157	CAMBRIDGE-BELIEVE_337985157_337985157
CAMBRIDGE-BELIEVE_337985425_337985425	CAMBRIDGE-BELIEVE_337985425_337985425
CAMBRIDGE-BELIEVE_337985631_337985631	CAMBRIDGE-BELIEVE_337985631_337985631
CAMBRIDGE-BELIEVE_337985857_337985857	CAMBRIDGE-BELIEVE_337985857_337985857
CAMBRIDGE-BELIEVE_337986260_337986260	CAMBRIDGE-BELIEVE_337986260_337986260
CAMBRIDGE-BELIEVE_337986434_337986434	CAMBRIDGE-BELIEVE_337986434_337986434
CAMBRIDGE-BELIEVE_337994033_337994033	CAMBRIDGE-BELIEVE_337994033_337994033
CAMBRIDGE-BELIEVE_337994081_337994081	CAMBRIDGE-BELIEVE_337994081_337994081
CAMBRIDGE-BELIEVE_337994259_337994259	CAMBRIDGE-BELIEVE_337994259_337994259
CAMBRIDGE-BELIEVE_337997935_337997935	CAMBRIDGE-BELIEVE_337997935_337997935
CAMBRIDGE-BELIEVE_337998000_337998000	CAMBRIDGE-BELIEVE_337998000_337998000
CAMBRIDGE-BELIEVE_337999094_337999094	CAMBRIDGE-BELIEVE_337999094_337999094
CAMBRIDGE-BELIEVE_337999368_337999368	CAMBRIDGE-BELIEVE_337999368_337999368
CAMBRIDGE-BELIEVE_337999431_337999431	CAMBRIDGE-BELIEVE_337999431_337999431
CAMBRIDGE-BELIEVE_337999719_337999719	CAMBRIDGE-BELIEVE_337999719_337999719
CAMBRIDGE-BELIEVE_337999976_337999976	CAMBRIDGE-BELIEVE_337999976_337999976
CAMBRIDGE-BELIEVE_338000260_338000260	CAMBRIDGE-BELIEVE_338000260_338000260
CAMBRIDGE-BELIEVE_338000465_338000465	CAMBRIDGE-BELIEVE_338000465_338000465
CAMBRIDGE-BELIEVE_338000590_338000590	CAMBRIDGE-BELIEVE_338000590_338000590
CAMBRIDGE-BELIEVE_338000647_338000647	CAMBRIDGE-BELIEVE_338000647_338000647
CAMBRIDGE-BELIEVE_338000752_338000752	CAMBRIDGE-BELIEVE_338000752_338000752
CAMBRIDGE-BELIEVE_338000832_338000832	CAMBRIDGE-BELIEVE_338000832_338000832
CAMBRIDGE-BELIEVE_338000847_338000847	CAMBRIDGE-BELIEVE_338000847_338000847
CAMBRIDGE-BELIEVE_338000916_338000916	CAMBRIDGE-BELIEVE_338000916_338000916
CAMBRIDGE-BELIEVE_353326323_353326323	CAMBRIDGE-BELIEVE_353326323_353326323
CAMBRIDGE-BELIEVE_353326396_353326396	CAMBRIDGE-BELIEVE_353326396_353326396
CAMBRIDGE-BELIEVE_353326404_353326404	CAMBRIDGE-BELIEVE_353326404_353326404
CAMBRIDGE-BELIEVE_353336039_353336039	CAMBRIDGE-BELIEVE_353336039_353336039
CAMBRIDGE-BELIEVE_353336457_353336457	CAMBRIDGE-BELIEVE_353336457_353336457
CAMBRIDGE-BELIEVE_353337497_353337497	CAMBRIDGE-BELIEVE_353337497_353337497
CAMBRIDGE-BELIEVE_353337847_353337847	CAMBRIDGE-BELIEVE_353337847_353337847
CAMBRIDGE-BELIEVE_353337893_353337893	CAMBRIDGE-BELIEVE_353337893_353337893
CAMBRIDGE-BELIEVE_353337964_353337964	CAMBRIDGE-BELIEVE_353337964_353337964
CAMBRIDGE-BELIEVE_353358816_353358816	CAMBRIDGE-BELIEVE_353358816_353358816
CAMBRIDGE-BELIEVE_353358822_353358822	CAMBRIDGE-BELIEVE_353358822_353358822
CAMBRIDGE-BELIEVE_353359340_353359340	CAMBRIDGE-BELIEVE_353359340_353359340
CAMBRIDGE-BELIEVE_353359361_353359361	CAMBRIDGE-BELIEVE_353359361_353359361
CAMBRIDGE-BELIEVE_353359660_353359660	CAMBRIDGE-BELIEVE_353359660_353359660
CAMBRIDGE-BELIEVE_353359693_353359693	CAMBRIDGE-BELIEVE_353359693_353359693
CAMBRIDGE-BELIEVE_353359762_353359762	CAMBRIDGE-BELIEVE_353359762_353359762
CAMBRIDGE-BELIEVE_353359940_353359940	CAMBRIDGE-BELIEVE_353359940_353359940
CAMBRIDGE-BELIEVE_353366027_353366027	CAMBRIDGE-BELIEVE_353366027_353366027
CAMBRIDGE-BELIEVE_353369367_353369367	CAMBRIDGE-BELIEVE_353369367_353369367
